Key,SourceString,Context
"Quest_SideQuest_GamescomBuriedRuin_Sub1_Description","There was an iron key and a captain's log, which mentioned some kind of vault. The text also says there are only three keys. I've already got one – two more to find.",""
"Quest_SideQuest_GamescomBuriedRuin_Sub2_Goal","Open the vault door",""
"Quest_SideQuest_GamescomBuriedRuin_Sub2_Description","I've found the keys, now I need to hurry and open the vault door.",""
"Quest_Local_Boarding_Core_Name","Boarding battle",""
"Quest_Local_Boarding_Sub01_Goal","Enemies killed",""
"Quest_MainQuest_Seafarer_Name","Мореплаватель",""
"Quest_MainQuest_Seafarer_Core_Drscription","Мне достался неплохой корабль. Но воды Карибского моря слишком беспокойные, чтобы ходить под парусом, не ощетинившись пушками.",""
"Quest_MainQuest_Seafarer_Core_Result","На архипелаге много тех, кто пострадал от пиратов Черной Бороды. Кто-то из них поможет мне, кому-то я протяну руку помощи.",""
"Quest_MainQuest_Seafarer_Sub01_Goal","Поставить в лагере Корабельную мастерскую",""
"Quest_MainQuest_Seafarer_Sub01_Desription","Не хочется, чтобы мой корабль пошел ко дну в первом же рейде. Для этого стоит построить корабельную мастерскую в лагере.",""
"Quest_MainQuest_Seafarer_Sub02_Goal","Craft 12-pounder cannons for your ship",""
"Quest_MainQuest_Seafarer_Sub02_Desription","Blackbeard’s pirates will try to send my ketch to the bottom as soon as they sight her. I’ll need some guns if I mean to defeat them in battle — a few simple 12-pounders should do for now.",""
"Quest_MainQuest_Seafarer_Sub03_Goal","Построить верфь и оснастить кетч пушками",""
"Quest_MainQuest_Seafarer_Sub03_Desription","Пушки готовы, теперь их следует поместить на палубу.",""
"Quest_MainQuest_Seafarer_Sub04_Goal","Уничтожить кеч пиратов Черной Бороды",""
"Quest_MainQuest_Seafarer_Sub04_Desription","Рядом с моим лагерем постоянно ошивается корабль пиратов. Лучше от него избавиться, а то рискую однажды проснуться из-за ядра, попавшего в крышу моего убежища.",""
"Quest_MainQuest_Seafarer_Sub05_Goal","Отправиться на рынок Тортуги",""
"Quest_MainQuest_Seafarer_Sub05_Desription","Тортуга – лучшее место для моряка. Особенно если нужно купить или продать все что угодно.",""
"Quest_MainQuest_Seafarer_Sub06_Goal","Купить у торговца книгу об огнестрельном оружии",""
"Quest_MainQuest_Seafarer_Sub06_Desription","В книгах чего только не написано. Иногда можно даже научиться оружейному делу.",""
"Quest_MainQuest_Seafarer_Sub07_Goal","Проверить торговые посты на островах",""
"Quest_MainQuest_Seafarer_Sub07_Desription","Когда добираться до ближайшего большого города приходится несколько недель, то мелкие торговые посты становятся настоящим спасением для моряков. Можно разузнать, кому какие товары нужны, чтобы в дальнейшем заняться торговлей.",""
"Quest_MainQuest_CJ_Islander_Name","Островитянин",""
"Quest_MainQuest_CJ_Islander_Core_Description","После нападения пиратов море выбросило меня на пустынный остров. Если я хочу остаться в живых, то придется обустраиваться.",""
"Quest_MainQuest_CJ_Islander_Core_Result","У меня есть крыша над головой, еда, одежда, и даже новое оружие. И додо уже не кажутся проблемой.",""
"Quest_MainQuest_CJ_Islander_Sub1_Goal","Зажечь лагерный костер",""
"Quest_MainQuest_CJ_Islander_Sub1_Description","Лагерный костер станет центром моего убежища. Важно выбрать хорошее место, чтобы вокруг было достаточно пространства для построек.",""
"Quest_MainQuest_CJ_Islander_Sub2_Goal","Обустроить лагерь",""
"Quest_MainQuest_CJ_Islander_Sub2_Description","Стало теплее, но пустой желудок и усталость дают о себе знать. Теперь нужно поставить базовые вещи для выживания: кухню, верстак и убежище. После этого можно будет отдохнуть под навесом и поспать.",""
"Quest_MainQuest_CJ_Islander_Sub3_Goal","Убить кабана и получить шкуру",""
"Quest_MainQuest_CJ_Islander_Sub3_Description","Океан превратил мою одежду в лохмотья. Нужно добыть кабаньи шкуры и попробовать что-нибудь сшить.",""
"Quest_MainQuest_CJ_Islander_Sub4_Goal","Сшить новые сапоги",""
"Quest_MainQuest_CJ_Islander_Sub4_Description","Мне срочно нужны новые сапоги. Иначе каждый раз рискую поранить пятки, бегая по джунглям.",""
"Quest_MainQuest_CJ_Islander_Sub5_Goal","Добыть медную руду в ближайшей пещере",""
"Quest_MainQuest_CJ_Islander_Sub5_Description","На мой обломок сабли без слез не взглянешь. Но чтобы выковать новую, понадобится металл. Ходили слухи, что в пещерах есть залежи меди.",""
"Quest_MainQuest_CJ_Islander_Sub6_Goal","Выплавить медные слитки",""
"Quest_MainQuest_CJ_Islander_Sub6_Description","Мне удалось найти медь. Дело за малым – поставить углевыжигательную печь, плавильню и выплавить пару слитков.",""
"Quest_MainQuest_CJ_Islander_Sub7_Goal","Выковать оружие ближнего боя",""
"Quest_MainQuest_CJ_Islander_Sub7_Description","Обломком сабли даже додо не напугаешь. Нужно выковать новое оружие ближнего боя. Любое подойдет.",""
"Quest_MainQuest_CJ_Islander_Sub8_Goal","Улучшите оружие на верстаке оружейника (оружие должно быть экипировано)",""
"Quest_MainQuest_CJ_Islander_Sub8_Description","Следует заточить оружие: с ним убивать местную живность сподручнее.",""
"Quest_MainQuest_INeedBiggerBoat_Name","Мне нужна лодка побольше",""
"Quest_MainQuest_INeedBiggerBoat_Core_Description","Пускай остров и напоминает райский уголок, однако долго я тут не протяну. Нужно добраться до цивилизации.",""
"Quest_MainQuest_INeedBiggerBoat_Core_Result","Время на острове не пропало даром. У меня есть корабль и команда. Наконец-то можно поднять якорь, поймать парусами ветер и отправиться в новое плавание.",""
"Quest_MainQuest_INeedBiggerBoat_Sub01_Goal","Проверить места кораблекрушений",""
"Quest_MainQuest_INeedBiggerBoat_Sub01_Desription","Доктор Гален рассказал, что видел севшие на мель корабли. Возможно, какой-то из них получится спустить на воду.",""
"Quest_MainQuest_INeedBiggerBoat_Sub02_Goal","Отремонтировать корабль",""
"Quest_MainQuest_INeedBiggerBoat_Sub02_Desription","Мне все-таки удалось найти корабль. Он цел, хотя слегка потрепан. Осталось собрать 100 дерева, 20 гвоздей, 20 отрезов грубой ткани, 10 веревок, и, возможно, эта крошка еще побороздит моря.",""
"Quest_MainQuest_INeedBiggerBoat_Sub03_Goal","Завершить ремонт и спустить корабль на воду",""
"Quest_MainQuest_INeedBiggerBoat_Sub03_Desription","Завершить ремонт и вернуть корабль в море вдвоем не выйдет. Чтобы ходить под парусом, нужно собрать команду. Для этой малышки, думаю, хватит семи человек.",""
"Quest_MainQuest_INeedBiggerBoat_Sub04_Goal","Поговорить с Галеном",""
"Quest_MainQuest_INeedBiggerBoat_Sub04_Desription","Команда собрана, корабль готов к отплытию. Пора сообщить доктору Галену, что мы можем убираться отсюда.",""
"Quest_MainQuest_SaveCrew_Name","Спасение команды",""
"Quest_MainQuest_SaveCrew_Core_Description","В плену пираты держат много моряков. Возможно, если их вытащить, они помогут выбраться с острова.",""
"Quest_MainQuest_SaveCrew_Core_Result","Мне удалось спасти несколько толковых ребят, из которых получится неплохая команда.",""
"Quest_MainQuest_SaveCrew_Sub01_Goal","Найти лагерь пиратов и освободить пленников",""
"Quest_MainQuest_SaveCrew_Sub01_Desription","Гален рассказал, что в лагере, откуда он сбежал, остались еще пленники. Следует найти это место и освободить ребят.",""
"Quest_MainQuest_SaveCrew_Sub02_Goal","Вызволить других моряков",""
"Quest_MainQuest_SaveCrew_Sub02_Desription","По словам освобожденного пленника, пираты захватили много людей и держат их взаперти еще в нескольких лагерях неподалеку.",""
"Quest_SideQuest_LostExpedition_Name","Славные охотники",""
"Quest_SideQuest_LostExpedition_Core_Description","Мне попался брошеный лагерь буканьеров – охотников на диких свиней. Судя по их записям, пираты напали на них, вынудив защищаться и прятаться в джунглях.",""
"Quest_SideQuest_LostExpedition_Core_Result","В знак признательности за помощь, Анри передал мне восстановленный мушкет своего брата.",""
"Quest_SideQuest_LostExpedition_Sub01_Goal","Найти следы буканьеров",""
"Quest_SideQuest_LostExpedition_Sub01_Desription","В этом месте живых людей не осталось – только осиротевшие вещи. Надо проверить другие стоянки.",""
"Quest_SideQuest_LostExpedition_Sub02_Goal","Сообщить главе буканьеров о смерти его людей",""
"Quest_SideQuest_LostExpedition_Sub02_Desription","Похоже, пираты Черной Бороды жестоко расправились с группой буканьеров на этом острове. Наверняка их товарищи захотят узнать о том, что здесь произошло. Заодно выясню, возможно ли восстановить поврежденный мушкет, который валялся в одном из лагерей.",""
"Quest_SideQuest_LostExpedition_Sub03_Goal","Уничтожить три пиратских корабля",""
"Quest_SideQuest_LostExpedition_Sub03_Desription","Анри Буше, глава буканьеров, рассказал, что найденные вещи раньше принадлежали его брату Марселю. После вестей о его смерти Анри попросил отомстить головорезам Черной Бороды и уничтожить три пиратских корабля.",""
"Quest_SideQuest_LostExpedition_Sub04_Goal","Вернуться к Анри Буше",""
"Quest_SideQuest_LostExpedition_Sub04_Desription","Нужно рассказать Анри, что убийцы его брата наказаны.",""
"Quest_SideQuest_UndergroundWeb_Name","Подпольная сеть",""
"Quest_SideQuest_UndergroundWeb_Core_Description","На острове нашелся разгромленый схрон контрабандистов. Похоже, у них неприятности и кто-то целенаправленно за ними охотится.",""
"Quest_SideQuest_UndergroundWeb_Core_Result","Кроме старых добрых пиратов, контрабандистам на Тортуге больше ничего не угрожает. Долговязый Бен получил еще одну любопытную историю в свой арсенал бесконечных баек, а я — доказательство того, что прошлое пиратов редко остается на дне.",""
"Quest_SideQuest_UndergroundWeb_Sub01_Goal","Расспросить на Тортуге о контрабандистах",""
"Quest_SideQuest_UndergroundWeb_Sub01_Desription","На Тортуге всегда полно слухов. Стоит поспрашивать в таверне о том, кто охотится на контрабандистов и зачем.",""
"Quest_SideQuest_UndergroundWeb_Sub02_Goal","Поговорить с Маритой на базе контрабандистов",""
"Quest_SideQuest_UndergroundWeb_Sub02_Desription","Долговязый Бен сказал, что за контрабанду на архипелаге отвечает женщина по имени Марита. Если хочу докопаться до сути, мне нужно поговорить именно с ней.",""
"Quest_SideQuest_UndergroundWeb_Sub03_Goal","Найти Хейла",""
"Quest_SideQuest_UndergroundWeb_Sub03_Desription","Марита сказала, что от Хейла – ее поставщика – давно не было вестей. Нужно узнать, что его задерживает.",""
"Quest_SideQuest_UndergroundWeb_Sub04_Goal","Вернуться к Марите",""
"Quest_SideQuest_UndergroundWeb_Sub04_Desription","Хейлу уже не помочь. Вместо живого поставщика – труп и записка с очередным упоминанием некоего Генри. Надо доложить Марите.",""
"Quest_SideQuest_UndergroundWeb_Sub05_Goal","Поговорить с Долговязым Беном в таверне",""
"Quest_SideQuest_UndergroundWeb_Sub05_Desription","Марита уверена: о Генри и его врагах мне лучше спросить у трактирщика Бена. Кажется, он скрывает куда больше, чем кажется.",""
"Quest_SideQuest_UndergroundWeb_Sub06_Goal","Найти и утопить корабль Марлоу",""
"Quest_SideQuest_UndergroundWeb_Sub06_Desription","Бен признался, что когда-то носил имя Генри Эвери – знаменитого пирата. Именно за ним охотится капитан Марлоу – его старый подельник. За решение этой проблемы Бен пообещал хорошую награду",""
"Quest_SideQuest_UndergroundWeb_Sub07_Goal","Сообщить Бену, что Марлоу мертв",""
"Quest_SideQuest_UndergroundWeb_Sub07_Desription","Марлоу больше не будет преследовать контрабандистов и Бена. Осталось вернуться к трактирщику и сообщить ему добрые вести.",""
"Quest_SideQuest_TravelersNotes_Name","Записки путешественника",""
"Quest_SideQuest_BucaneerNotes_Name","Записи Марселя Буше",""
"Quest_MainQuest_RevengeRichards_Name","Месть подают холодной",""
"Quest_MainQuest_RevengeRichards_Core_Description","Томас Ричардс убил мою команду, потопил мой корабль, а меня выкинул в море. Пора навестить этого гада и вернуть должок. Заодно забрать артефакт, который, возможно, поможет избавиться от хвори на теле.",""
"Quest_MainQuest_RevengeRichards_Core_Result","Мне удалось отомстить за купание в море и избавить мир от Томаса Ричардса. Однако поиски артефакта и исцеления придется продолжить.",""
"Quest_MainQuest_RevengeRichards_Sub01_Goal","Найти четыре Черные метки",""
"Quest_MainQuest_RevengeRichards_Sub01_Desription","Ричардс – параноик. Он заперся в своем пещерном лагере и даже кончика носа не высовывает наружу. Придется раздобыть особые Черные метки, чтобы попасть внутрь.",""
"Quest_MainQuest_RevengeRichards_Sub02_Goal","Проникнуть в лагерь Ричардса",""
"Quest_MainQuest_RevengeRichards_Sub02_Desription","Наконец-то Черные метки у меня. Самое время наведаться в главный лагерь пиратов.",""
"Quest_MainQuest_RevengeRichards_Sub03_Goal","Сразиться с Ричардсом",""
"Quest_MainQuest_RevengeRichards_Sub03_Desription","Ричардс пытался меня убить, пора отплатить ему той же монетой и забрать у него артефакт.",""
"Quest_MainQuest_RevengeRichards_Sub04_Goal","Посоветоваться с доктором Галеном",""
"Quest_MainQuest_RevengeRichards_Sub04_Desription","В лагере Ричардса артефакта не было. Судя по его журналу, эту штуковину у него забрал Израэль Хендс – еще один приспешник Черной Бороды. Надо обсудить это с доктором Галеном.",""
"Quest_MainQuest_ChasingArtifact_Name","Иголка в стогу сена","english idiom should be smth like - A needle in a haystack"
"Quest_MainQuest_ChasingArtifact_Core_Description","Артефакт, который может меня спасти, попал в руки другого приспешника Черной Бороды – Израэля Хендса. Придется отправиться на его поиски в Предгорья.",""
"Quest_MainQuest_ChasingArtifact_Core_Result","Мне удалось вернуть один артефакт, но похоже, что придется отыскать еще несколько, если хочу остаться в живых.",""
"Quest_MainQuest_ChasingArtifact_Sub01_Goal","Обыскать лагеря пиратов в Предгорьях",""
"Quest_MainQuest_ChasingArtifact_Sub01_Desription","Единственная зацепка, которая у меня есть, - лагеря пиратов, о которых слышал Гален. С них и начнем.",""
"Quest_MainQuest_ChasingArtifact_Sub02_Goal","Взять на абордаж \""Непотопляемый\""",""
"Quest_MainQuest_ChasingArtifact_Sub02_Desription","Доверенные люди Хендса отправились на \""Непотопляемом\"" за новыми пленными. Отличная возможность спасти горстку невинных душ и узнать побольше о том, где искать самого Хендса.",""
"Quest_MainQuest_ChasingArtifact_Sub03_Goal","Обыскать лагерь возле руин",""
"Quest_MainQuest_ChasingArtifact_Sub03_Desription","Судя по бумагам с \""Непотопляемого\"", пленников собирались доставить в лагерь возле руин. Возможно, там я узнаю, где искать Хендса.",""
"Quest_MainQuest_ChasingArtifact_Sub04_Goal","Собрать ключи от храма",""
"Quest_MainQuest_ChasingArtifact_Sub04_Desription","Судя по записке в лагере, Хендс заперся в древнем храме. Чтобы попасть внутрь, нужно забрать у его сержантов три ключа от храмовых врат.",""
"Quest_MainQuest_ChasingArtifact_Sub05_Goal","Сразиться с Хендсом",""
"Quest_MainQuest_ChasingArtifact_Sub05_Desription","Мне удалось собрать ключи. Я наконец-то смогу забрать артефакт у Хендса. Двух обладающих магией сумасшедших пиратов этот мир точно не выдержит.",""
"Quest_MainQuest_ChasingArtifact_Sub06_Goal","Поговорить с выжившим пленником",""
"Quest_MainQuest_ChasingArtifact_Sub06_Desription","В храме Хендс занимается чем-то страшным и чудовищным. Тела его последних жертв до сих пор прикованы к стенам. Только одному из пленных удалось выжить. Стоит с ним поговорить.",""
"Quest_MainQuest_ChasingArtifact_Sub07_Goal","Продолжить разговор с картографом в лагере",""
"Quest_MainQuest_ChasingArtifact_Sub07_Desription","Выжившим пленником оказался картограф по имени Джон Доу. Он пообещал ответить на мои вопросы, когда немного придет в себя. Нужно встретиться с ним в лагере.",""
"Quest_MainQuest_ChasingArtifact_Sub08_Goal","Поговорить с доктором Галеном",""
"Quest_MainQuest_ChasingArtifact_Sub08_Desription","Черная Борода лишился еще одного помощника, и мы вернули артефакт губернатора. Однако, если верить картографу, вылечить меня не так-то просто. Нужно обсудить дальнейшие планы с доктором Галеном.",""
"Quest_MainQuest_ForgottenRelic_Name","Забытые реликвии",""
"Quest_MainQuest_ForgottenRelic_Core_Description","Оказывается, артефакт – это один из Оболов Харона – древнего божества, который перевозит души в мир мертвых. Спасенный путешественник поведал, что из-за этой реликвии я скоро превращусь в нежить. Чтобы избежать такой печальной участи, придется отправиться на поиски остальных Оболов.",""
"Quest_MainQuest_ForgottenRelic_Core_Result","Мне удалось заполучить два Обола. Пора отправиться на поиски остальных...",""
"Quest_MainQuest_ForgottenRelic_Sub1_Goal","Поговорить с Джоном у себя на базе",""
"Quest_MainQuest_ForgottenRelic_Sub1_Description","Джон кажется сведущим человеком. Наверняка он знает, где искать другие Оболы. Надо подробнее его расспросить о них, когда будем в лагере.",""
"Quest_MainQuest_ForgottenRelic_Sub2_Goal","Найти и обыскать дом жрицы",""
"Quest_MainQuest_ForgottenRelic_Sub2_Description","По словам Джона, второй Обол хранила у себя жрица местого народа. Нужно наведаться к ней и поискать реликвию.",""
"Quest_MainQuest_ForgottenRelic_Sub3_Goal","Вернуться к Джону",""
"Quest_MainQuest_ForgottenRelic_Sub3_Description","В Болотах мрачно, влажно, и каждая тварь норовит оторвать от меня кусок. Мне не удалось найти ничего, кроме небольшой таблички с письменами. Возможно, Джон сможет их прочесть.",""
"Quest_MainQuest_ForgottenRelic_Sub4_Goal","Собрать записи сенкамати",""
"Quest_MainQuest_ForgottenRelic_Sub4_Description","В табличке говорилось о жрице и каком-то Ритуале Призыва. Джон попросил принести больше образцов, чтобы он смог их расшифровать и узнать, куда все-таки подевался Обол.",""
"Quest_MainQuest_ForgottenRelic_Sub5_Goal","Отдать записи Джону",""
"Quest_MainQuest_ForgottenRelic_Sub5_Description","В Болотах завалялось изрядное количество глиняных табличек. Надеюсь, Джону их будет достаточно.",""
"Quest_MainQuest_ForgottenRelic_Sub6_Goal","Спросить Джона о результатах перевода",""
"Quest_MainQuest_ForgottenRelic_Sub6_Description","Таблички с текстами у Джона. Нужно спросить, удалось ли ему что-то узнать.",""
"Quest_MainQuest_ForgottenRelic_Sub7_Goal","Найти и изучить другие надписи",""
"Quest_MainQuest_ForgottenRelic_Sub7_Description","Джон разъяснил мне значение некоторых знаков. Теперь я могу переводить написанный на табличках текст самостоятельно. Возможно, другие записи в Болотах подскажут, где искать жрицу и Обол.",""
"Quest_MainQuest_ForgottenRelic_Sub8_Goal","Отыскать и обследовать место ритуала",""
"Quest_MainQuest_ForgottenRelic_Sub8_Description","Фрески направили меня к месту проведения древних погребальных обрядов. Там должны быть следы жрицы.",""
"Quest_MainQuest_ForgottenRelic_Sub9_Goal","Найти место, где упокоилась жрица, и отыскать Обол Харона",""
"Quest_MainQuest_ForgottenRelic_Sub10_Goal","To be continued...",""
"Quest_MainQuest_ForgottenRelic_Sub9_Description","Единственный способ достать Обол Харона – найти место, где упокоилась жрица. Думаю, нож лучше тоже забрать с собой. Вдруг пригодится.",""
"Quest_SideQuest_SacrificialLambQuest_Name","Жертвенный агнец",""
"Quest_SideQuest_SacrificialLambQuest_Core_Description","Кто-то привязал тело человека к штурвалу и оставил умирать, обрекая на долгие мучения...",""
