Key,SourceString,Context
"Ship_Customization_HullCollor_Smugglers_Ashen_Description","Подходит для тайных рейдов и ночных абордажей.",""
"Ship_Customization_HullCollor_Smugglers_Sand_Name","Испанское золото",""
"Ship_Customization_HullCollor_Smugglers_Sand_Description","Теплый желтый оттенок напоминает о галеонах с трюмами, полными сокровищ.",""
"Ship_Customization_HullCollor_Smugglers_Seaweed_Name","Изумрудная россыпь",""
"Ship_Customization_HullCollor_Smugglers_Seaweed_Description","Зеленый оттенок водорослей используют контрабандисты, которые предпочитают скрываться на мелководье и в джунглях.",""
"Ship_Customization_Sail_Stock_Origin_Name","Обычные паруса",""
"Ship_Customization_Sail_Stock_Origin_Description","Несмотря на заплаты, они все еще послушно ловят ветер.",""
"Ship_Customization_Sail_Stock_Blank_Name","Светлые паруса",""
"Ship_Customization_Sail_Stock_Blank_Description","Создают ощущение надежности и свежего начала. Идеальны для путешествия в неизвестность.",""
"Ship_Customization_Sail_Stock_Torn_Name","Старые паруса",""
"Ship_Customization_Sail_Stock_Torn_Description","Больше подходят кораблю-призраку.",""
"Ship_Customization_Sail_Stock_Perfect_Name","Превосходные паруса",""
"Ship_Customization_Sail_Stock_Perfect_Description","Кораблю с такими парусами всегда лует попутный ветер.",""
"Ship_Customization_Sail_BlackBeard_Origin_Name","Штормовое небо",""
"Ship_Customization_Sail_BlackBeard_Origin_Description","Паруса на кораблях Черной Бороды цвета штормового неба.",""
"Ship_Customization_Sail_BlackBeard_Altered_Name","Из глубин",""
"Ship_Customization_Sail_BlackBeard_Altered_Description","Паруса на кораблях Черной Бороды с изображением морских чудовищ.",""
"Ship_Customization_Sail_BlackBeard_Blank_Name","Темные тучи",""
"Ship_Customization_Sail_BlackBeard_Blank_Description","Стандартные темные паруса на кораблях Черной Бороды. На горизонте выглядят как скользящие по волнам призраки.",""
"Ship_Customization_Sail_Brethren_Origin_Name","Кровавый сполох",""
"Ship_Customization_Sail_Brethren_Origin_Description","Алые паруса на кораблях Берегового Братства.",""
"Ship_Customization_Sail_Brethren_Altered_Name","Оскал Веселого Рождера",""
"Ship_Customization_Sail_Brethren_Altered_Description","Красно-черные паруса на кораблях Берегового Братства с изображением Веселого Роджера. Будто ловят закатное солнце перед тем, как уйти в шторм.",""
"Ship_Customization_Sail_Brethren_Blank_Name","Сумерки",""
"Ship_Customization_Sail_Brethren_Blank_Description","Стандартные серые паруса на кораблях Берегового Братства.",""
"Ship_Customization_Sail_Buccaneers_Origin_Name","Душа зверолова",""
"Ship_Customization_Sail_Buccaneers_Origin_Description","Паруса на кораблях буканьеров. Вселяют тревогу в тех, кто превращается в добычу.",""
"Ship_Customization_Sail_Buccaneers_Altered_Name","Настрой охотника",""
"Ship_Customization_Sail_Buccaneers_Altered_Description","Всегда находят благоприятный ветер.",""
"Ship_Customization_Sail_Buccaneers_Blank_Name","Пепел на ветру",""
"Ship_Customization_Sail_Buccaneers_Blank_Description","Стандартные светлые паруса на кораблях буканьеров.",""
"Ship_Customization_Sail_Smugglers_Origin_Name","Морской змей",""
"Ship_Customization_Sail_Smugglers_Origin_Description","Паруса на кораблях контрабандистов – хитрецов, которым способствует удача.",""
"Ship_Customization_Sail_Smugglers_Altered_Name","Драконье золото",""
"Ship_Customization_Sail_Smugglers_Altered_Description","Контрабандисты верят, что в логове дракона всегда найдутся сокровища. Прямо как в их трюмах.",""
"Ship_Customization_Sail_Smugglers_Blank_Name","Ночная завеса",""
"Ship_Customization_Sail_Smugglers_Blank_Description","Стандартные паруса на кораблях контрабандистов. Практичный выбор для дальних и опасных плаваний.",""
"Ship_Customization_Flag_Stock_Origin_Name","Черный флаг",""
"Ship_Customization_Flag_Stock_Origin_Description","Флаг без опознавательных знаков. Годится тем, кто не хочет принимать чью-либо сторону.",""
"Ship_Customization_Flag_Stock_EICo_Name","Флаг Британской Ост-Индской компании",""
"Ship_Customization_Flag_Stock_EICo_Description","Иногда выгодно притвориться кем-то другим...",""
"Ship_Customization_Flag_Stock_LongBen_Name","Флаг Генри Эвери",""
"Ship_Customization_Flag_Stock_LongBen_Description","Флаг легендарного пирата, который завоевал несметные богатства и исчез. Возможно, принесет удачу еще одному капитану.",""
"Ship_Customization_Flag_Stock_Tortuga_Name","Флаг капитанов Тортуги",""
"Ship_Customization_Flag_Stock_Tortuga_Description","Скрещенные кости на фоне крепости Тортуги.",""
"Ship_Customization_Flag_BlackBeard_Origin_Name","Флаг Черной Бороды",""
"Ship_Customization_Flag_BlackBeard_Origin_Description","В одной руке скелет держит песочные часы, в другой – копье, нацеленное на сердце с каплями крови.",""
"Ship_Customization_Flag_BlackBeard_Altered_Name","Охотник за сердцами",""
"Ship_Customization_Flag_BlackBeard_Altered_Description","Все, кто видят этот флаг, понимают, что их ждет неминуемая смерть при сопротивлении.",""
"Ship_Customization_Flag_BlackBeard_Bonnet_Name","Флаг Стида Боннета",""
"Ship_Customization_Flag_BlackBeard_Bonnet_Description","Череп означает пиратский корабль, кость между сердцем и кинжалом – качели между жизнью и смертью. Символизирует шаткое положение любого, кто оказался в море.",""
"Ship_Customization_Flag_BlackBeard_Crawler_Name","Медленная смерть",""
"Ship_Customization_Flag_BlackBeard_Crawler_Description","Символ неумолимой смерти. Говорят, что пираты, которые ходили под этим флагом, закапывали своих жертв на берегу по самую шею и смотрели, как их поедают животные... или прилив.",""
"Ship_Customization_Flag_Brethren_Origin_Name","Флаг Берегового Братства",""
"Ship_Customization_Flag_Brethren_Origin_Description","Веселый Роджер с кинжалом в зубах и перекрещенными саблями позади. Враг видит и дрожит.",""
"Ship_Customization_Flag_Brethren_Altered_Name","Веселый Роджер",""
"Ship_Customization_Flag_Brethren_Altered_Description","Символ воли к свободе и презрения к смерти.",""
"Ship_Customization_Flag_Brethren_Axes_Name","Левиафан",""
"Ship_Customization_Flag_Brethren_Axes_Description","Флаг Берегового Братства с изображением головы чудовища и двумя топорами. Подходит капитанам, которые не боятся противостоять самым опасным монстрам.",""
"Ship_Customization_Flag_Brethren_Raven_Name","Ворон",""
"Ship_Customization_Flag_Brethren_Raven_Description","Все мы однажды станем пищей воронья или морских чудищ. Но противники этого капитана станут ею раньше других.",""
"Ship_Customization_Flag_Buccaneers_Origin_Name","Флаг буканьеров",""
"Ship_Customization_Flag_Buccaneers_Origin_Description","Два скрещенных ружья с песочными часами и черепом.",""
"Ship_Customization_Flag_Buccaneers_Altered_Name","Меткий стрелок",""
"Ship_Customization_Flag_Buccaneers_Altered_Description","Символ того, что дни ваших врагов сочтены.",""
"Ship_Customization_Flag_Buccaneers_Cannons_Name","Тяжелая артиллерия",""
"Ship_Customization_Flag_Buccaneers_Cannons_Description","У буканьеров даже пушки стреляют точно в цель.",""
"Ship_Customization_Flag_Buccaneers_Pistols_Name","Верные пистоли",""
"Ship_Customization_Flag_Buccaneers_Pistols_Description","Флаг олицетворяет меткость и мастерство. Ни один враг не уйдет.",""
"Ship_Customization_Flag_Smugglers_Origin_Name","Флаг контрабандистов",""
"Ship_Customization_Flag_Smugglers_Origin_Description","Весы, на одной стороне которых достаток, а на другой – смерть. Что перевесит?",""
"Ship_Customization_Flag_Smugglers_Altered_Name","Цена риска",""
"Ship_Customization_Flag_Smugglers_Altered_Description","Кто не рискует, тот упускает шанс разбогатеть.",""
"Ship_Customization_Flag_Smugglers_Pisces_Name","Волшебные карпы",""
"Ship_Customization_Flag_Smugglers_Pisces_Description","Символ упорства и успеха на далеком Востоке. Согласно преданию карп, который плывет против течения и преодолевает водопад, превращается в дракона.",""
"Ship_Customization_Flag_Smugglers_Snake_Name","Мудрый змей",""
"Ship_Customization_Flag_Smugglers_Snake_Description","Флаг, который ясно дает понять, что не стоит переходить дорогу тем, у кого кинжалы смазаны ядом.",""
